id,ad_content
0c86562e-3f0b-54f5-97a5-4187d147925d/a0,"27. Zwey Losamenter von 2 heizbaren Zimmern, Nebenstube, 2 Küchen mit ablaufenden Wassersteinen, und einer Kammer, alles auf einem Boden; sodann noch 2 Kammern auf dem obern Stock, Platz zu Holz, Brunnen im Haus, und Waschhaus, alles sehr bequem eingerichtet; zertheilt oder zusammen, auf Fastnachtfronfasten."
0c86562e-3f0b-54f5-97a5-4187d147925d/a1,"26. In der AeschenVorstadt: Ein schönes helles Losament im ersten Stock, von Stube und Alekoven, Küche und ablaufendem Wasserstein, und was der Augenird."
0c86562e-3f0b-54f5-97a5-4187d147925d/a10,"2. In der Mitte der Stadt: zwey helle Losamenter mit ablaufendem Wasserstein frey, und an ehrbare und stille Leute auf Fastnachtfronfasten zu verleihen, wo aus zu erfahren. ist im Ber ot"
0c86562e-3f0b-54f5-97a5-4187d147925d/a11,1. Zwey ineinander gehende meublirte immer in No. 118 am Blumenplatz.
0c86562e-3f0b-54f5-97a5-4187d147925d/a12,5. Ein noch gutconditionirter Ghar-à-bancSitz.
0c86562e-3f0b-54f5-97a5-4187d147925d/a13,4. Ein Glaskasten; derselbe müßte 9 1/2 bis 10 Schuh lang und 3½/2 Schuh hoch feyn.
0c86562e-3f0b-54f5-97a5-4187d147925d/a14,"3. Sollte Jemand die Rummern 2 bis 6 des Christlichen Volksboten abgeben können, so beliebe man solche nebst Preis im Berichthaus abzugeben."
0c86562e-3f0b-54f5-97a5-4187d147925d/a15,22. Man wünscht ein Kapital von Fr. 450 icher anzulegen.
0c86562e-3f0b-54f5-97a5-4187d147925d/a16,"21. In No. 1528 am Fischmarkt: Ein schönes, helles und geräumiges Losament von 2 Stuben neben einander, beschlüssiger Küche mit ablaufendem Wasserstein, nebst Kammer und Platz zu Holz, an ehrbare Leute, sogleich oder auf Fastnachtfronfasten zu beziehen."
0c86562e-3f0b-54f5-97a5-4187d147925d/a17,"20. In No. 191 am Herbergsberg: Ein schönes helles Losament mit beschlüssiger Küche, ablaufendem Wasserstein, und Platz zu Holz, an Leute ohne Kinder, auf Fastnachtfronfasten."
0c86562e-3f0b-54f5-97a5-4187d147925d/a18,"19. In No. 1748 hinter der großen Metzg: Ein Losament ebnen Fußes, welches wegen seiner guten Läge zu einem Handkauf sehr dienlich wäre; ferner im 1sten Stock eine Stube, Küche mit ablaufendem Wasserstein, Sommerhaus, Kammer, Estrich, Keller und was der Augenschein zeigen wird, an rechtschaffene Leute, auf Fastnachtfrf.; in No. 1749 zu erfragen."
0c86562e-3f0b-54f5-97a5-4187d147925d/a19,"9. In Mitte der Stadt: Ein helles Losament in 2 Zimmern mit Nebenzimmer und Alekoven, Küche mit ablaufendem Wasserstein, Kammer Estrich, Keller; und weitern Annehmlichkeiten, an ehrbare und stille Leute, sogleich oder auf Fastnachtfronfasten zu beziehen."
0c86562e-3f0b-54f5-97a5-4187d147925d/a2,"25. In No 687 A. sind 2 bequeme Losameuter, fo wie eine heizbare Werkstätte nebst Magazin auf Fastnachtfronfasten zu beziehen."
0c86562e-3f0b-54f5-97a5-4187d147925d/a20,"8. In No. 371. St. Leonhards-Graben: Ein schönes helles Losament von Stube, Küche mit ablaufendem Wasserstein, nebst Kammer, Platz zu Holz und was der Aunschein weiter zeigen wird."
0c86562e-3f0b-54f5-97a5-4187d147925d/a21,"In No. 427 auf dem Heuberg ist ein Losament ebnen Fußes auf Fastnachtfronfasten zu beziehen. Zugleich ist allda ein guter Keller zu eirca 160 Saum ohne Faß zu verleihen, wäre auch für einen Kaufmann als Magazin dienlich. Dieser Keller ist auch ebner Erde"
0c86562e-3f0b-54f5-97a5-4187d147925d/a22,"6. In No. 1439 an der Freyenstraße: ein Losament, bestehend in 3 heizbaren täpezirten Zimmern, 2 Kammern, Küche, Keller, Brunnen, Platz zu Holz und ein Höflein, sogleich oder auf Fastnachtfronzu be sten fa"
0c86562e-3f0b-54f5-97a5-4187d147925d/a23,"2. Eine ganz leichte Offiziersflinte nach der frühern franz. Ordonnanz, in gehörigem vollkommenem Calibre ohne Zierrath. Ist sich diesfalls in No. 1206 hinter'm Münster zu melden."
0c86562e-3f0b-54f5-97a5-4187d147925d/a24,"1. Sebastian Brants Narrenschiff mit Holzschnitten, gut erhalten, und F. H. von der Hagen Narrenbuch in 8ille. 1811. – In billigen Preisen."
0c86562e-3f0b-54f5-97a5-4187d147925d/a25,"41. Guter Schlehenwein à 6 Btz. d. Maasbey Tschientschy, am Spahlenberg."
0c86562e-3f0b-54f5-97a5-4187d147925d/a26,"40. Durch öfteres Nachfragen nach SeidenHütlein für Knäblein, hat Unterzeichneter die Ehre, einem verehrten Publikum anzuzeigen, daß auf das neue Jahr eine Auswahl derselben fertig ist, so wie auch von allen andern Sorten Hüten, auch Filzstiefel, Filzschuhe, Gesundheitssohlen ꝛc. Es empfiehlt sich höflich F. Jos. Meyer, Hutmacher, in No. 1633."
0c86562e-3f0b-54f5-97a5-4187d147925d/a27,"18. In No. 1757 an der Schneidergasse: Ein helles Losament von 2 heizbaren Zimmern, großem Sommerhaus, Küche mit ablaufendem Wasserstein, Brunnen im Haus, Platz zu Holz und auf dem Estrich, und was der Augenschein weiter zeigen nachtfronfasten. wird"
0c86562e-3f0b-54f5-97a5-4187d147925d/a28,"17. Ein Losament in No. 789 an der vordern Steinen, bestehend in Stube, Kammer und was der Augenschein weiter ird."
0c86562e-3f0b-54f5-97a5-4187d147925d/a29,"16. An der Webergasse: Ein helles Losament eine Stege hoch oder ebner Erde, auf Verlangen auch ein gewölbter Keller dazu, sogleich zu beziehen."
0c86562e-3f0b-54f5-97a5-4187d147925d/a3,"24. In der Spahlen-Vorstadt: Ein helles Losament an wenig und stille Leute, auf nstnachtfronfasten."
0c86562e-3f0b-54f5-97a5-4187d147925d/a30,"5. Eine Stube, Kammer und Küche, auch eine Stube und Küche ist auf Fastnachtfronf. zu beziehen, und in No. 581 zu erfragen."
0c86562e-3f0b-54f5-97a5-4187d147925d/a31,"4. An der Freyenstraße: Ein schönes helles Losament im 2ten Stock von 3 oder 4 Zimmern mit heller Küche, eigenem Keller samt Kammern, und Ausgang vorne oder ge el en den Sch"
0c86562e-3f0b-54f5-97a5-4187d147925d/a32,"39. Bey Frau Pfau, hinter der großen Metzg, ist ein Laden Corpus nebst LadenTisch. Bettladen und Kästlein, auch eine ganz neue Schnellwaage mit einer Schale worauf man 10 bis 270 wägen kann, zu haben."
0c86562e-3f0b-54f5-97a5-4187d147925d/a33,"38. Extraguter, süßer rother Wein, die alte Maas à 7 Btz. bey J. N. Jucker an der Huthgasse."
0c86562e-3f0b-54f5-97a5-4187d147925d/a34,37. In No. 863 an der Thorsteinen ist zu haben: Extraguter Hypocras à 12 Btz die Maas.
0c86562e-3f0b-54f5-97a5-4187d147925d/a35,"36. Unterzeichnete giebt sich die Ehre E. E. Püblikum zu benachrichtigen, daß sie so eben eine frische Sendung diversfarbiger Indiennes erhalten hat, die zu dem sehr billigen Preis von neun Kreutzer pr. Elle erlassen werden können; womit sich nebst ihren bekannten führenden Waaren beBabette Wolf stens empfiehlt o. 479 am Spahlenberg."
0c86562e-3f0b-54f5-97a5-4187d147925d/a36,"3. An der untern Gerbergasse ist auf Fastnachtfronfasten ein Losament, bestehend in Stube, Küche, Sommerhaus und Laube, im ersten Stock; nebst Kammer, Platz zu Holz und im Keller, und Benutzung des Waschhauses, an wenig und stille Leute zu vermiethen. Man melde sich deßhalb bei Andr. Märklin, Drechsler auf E. E. Zunft zu Schneidern an"
