ID,Ort,lat,lng
31,Einsiedeln,47.128055,8.743058
35,Glarus,47,9.05
36,Itter,47.470556,12.143889
38,Zürich,47.37174,8.54226
39,Kloster Himmerod,50.027862,6.756721
2,Straßburg, 48.583611,7.748056
4,Augsburg, 48.371667,10.898333
5,Basel, 47.557421,7.592573
6,Bayern,48.949444,11.395
7,Österreich,47.6,13.783333
8,Bern,46.951081,7.438637
9,Freiburg,47.994828,7.849881
10,Bodensee, 47.633333,9.366667
11,Colmar, 48.081111,7.355
12,Elsass,48.259444,7.454167
13,Haguenau, 48.816667,7.787778
14,Kloster Eberhardsklausen, 49.905722,6.882878
15,Köln, 50.938056,6.956944
16,Konstanz, 47.663333,9.175278
17,Linz, 48.303056,14.290556
18,Memmingen, 47.987778,10.181111
19,Mittelrhein,50.356667,7.593889
20,Oberrhein,48.250833,7.603056
21,Salzburg, 47.8,13.033333
22,Schaffhausen, 47.700001,8.633333
23,Schwaben,48.400833,9.987222
24,Speyer, 49.317222,8.434167
25,St. Gallen, 47.423336,9.377225
27,Tirol, 46.713611,11.656389
28,Überlingen, 47.766667,9.158333
29,Weingarten,47.809167,9.644444
33,Biberstein,47.41396, 8.08378
32,Schwyz,47.02101,8.65365
30,Frauenkloster Gommersheim,49.784722,8.194167
34,Solothurn,47.20808,7.53858
37,Schloss Burgfried,48.265033,12.679617
